week_label,Link,issue_type,Assigned to,start_date,created_on
W00,http://redmine.surecash.net/issues/266638,Multi Business Related,Tech Ops,2025-06-25,2025-06-25 15:48:58+00:00
W00,http://redmine.surecash.net/issues/266598,DPS Withdrawal Problem,Tech Ops,2025-06-25,2025-06-25 12:24:18+00:00
W00,http://redmine.surecash.net/issues/266594,Customer list not found,Tech Ops,2025-06-25,2025-06-25 11:52:12+00:00
W00,http://redmine.surecash.net/issues/266588,Data mismatch - TK,Tech Ops,2025-06-25,2025-06-25 11:04:20+00:00
W00,http://redmine.surecash.net/issues/266559,DPS Withdrawal Problem,Tech Ops,2025-06-25,2025-06-25 08:03:14+00:00
W00,http://redmine.surecash.net/issues/266533,Data Backup Problem,Tech Ops,2025-06-25,2025-06-25 06:27:04+00:00
W00,http://redmine.surecash.net/issues/266508,Transaction edit/delete related issue,Tech Ops,2025-06-25,2025-06-25 04:48:45+00:00
W00,http://redmine.surecash.net/issues/266483,Data not found - TK,Tech Ops,2025-06-25,2025-06-25 02:47:55+00:00
W00,http://redmine.surecash.net/issues/266471,DPS Withdrawal Problem,Tech Ops,2025-06-25,2025-06-25 02:15:45+00:00
W00,http://redmine.surecash.net/issues/266426,Data Backup Problem,Tech Ops,2025-06-24,2025-06-24 14:33:58+00:00
W00,http://redmine.surecash.net/issues/266410,DPS Withdrawal Problem,Tech Ops,2025-06-24,2025-06-24 12:10:30+00:00
W00,http://redmine.surecash.net/issues/266408,DPS Withdrawal Problem,Tech Ops,2025-06-24,2025-06-24 12:02:32+00:00
W00,http://redmine.surecash.net/issues/266404,DPS Withdrawal Problem,Tech Ops,2025-06-24,2025-06-24 11:40:03+00:00
W00,http://redmine.surecash.net/issues/266383,DPS Withdrawal Problem,Tech Ops,2025-06-24,2025-06-24 09:42:52+00:00
W00,http://redmine.surecash.net/issues/266379,TK_Premium-Stock,Tech Ops,2025-06-24,2025-06-24 09:03:42+00:00
W00,http://redmine.surecash.net/issues/266361,DPS Enquiry,Tech Ops,2025-06-24,2025-06-24 07:28:35+00:00
W00,http://redmine.surecash.net/issues/266358,Data not found - TK,Tech Ops,2025-06-24,2025-06-24 06:58:39+00:00
W00,http://redmine.surecash.net/issues/266347,Bug,Tech Ops,2025-06-24,2025-06-24 06:09:48+00:00
W00,http://redmine.surecash.net/issues/266315,DPS Withdrawal Problem,Tech Ops,2025-06-24,2025-06-24 04:17:56+00:00
W00,http://redmine.surecash.net/issues/266298,Data Backup Problem,Tech Ops,2025-06-24,2025-06-24 02:38:09+00:00
W00,http://redmine.surecash.net/issues/266289,DPS Withdrawal Problem,Tech Ops,2025-06-23,2025-06-23 16:26:18+00:00
W00,http://redmine.surecash.net/issues/266284,SQR - non transactional issues,Tech Ops,2025-06-23,2025-06-23 14:57:59+00:00
W00,http://redmine.surecash.net/issues/266246,SMS issue,Tech Ops,2025-06-23,2025-06-23 11:05:29+00:00
W00,http://redmine.surecash.net/issues/266238,SMS issue,Tech Ops,2025-06-23,2025-06-23 10:34:37+00:00
W00,http://redmine.surecash.net/issues/266233,DPS Withdrawal Problem,Tech Ops,2025-06-23,2025-06-23 09:45:34+00:00
W00,http://redmine.surecash.net/issues/266222,SMS issue,Tech Ops,2025-06-23,2025-06-23 08:22:35+00:00
W00,http://redmine.surecash.net/issues/266208,SMS issue,Tech Ops,2025-06-23,2025-06-23 07:05:49+00:00
W00,http://redmine.surecash.net/issues/266193,Data not found - TK,Tech Ops,2025-06-23,2025-06-23 05:27:23+00:00
W00,http://redmine.surecash.net/issues/266151,SQR - non transactional issues,Tech Ops,2025-06-22,2025-06-22 16:29:56+00:00
W00,http://redmine.surecash.net/issues/266138,SMS issue,Tech Ops,2025-06-22,2025-06-22 14:50:47+00:00
W00,http://redmine.surecash.net/issues/266117,Data not found - TK,Tech Ops,2025-06-22,2025-06-22 12:50:41+00:00
W00,http://redmine.surecash.net/issues/266056,SMS issue,Tech Ops,2025-06-22,2025-06-22 06:09:27+00:00
W00,http://redmine.surecash.net/issues/265968,Other,Tech Ops,2025-06-21,2025-06-21 14:19:07+00:00
W00,http://redmine.surecash.net/issues/265845,Other,Tech Ops,2025-06-21,2025-06-21 06:14:17+00:00
W00,http://redmine.surecash.net/issues/265824,SQR - non transactional issues,Tech Ops,2025-06-21,2025-06-21 03:06:43+00:00
W00,http://redmine.surecash.net/issues/265819,DPS Enquiry,Tech Ops,2025-06-21,2025-06-21 02:38:02+00:00
W00,http://redmine.surecash.net/issues/265803,SMS issue,Tech Ops,2025-06-20,2025-06-20 14:55:25+00:00
W00,http://redmine.surecash.net/issues/265641,SMS issue,Tech Ops,2025-06-19,2025-06-19 14:23:14+00:00
W00,http://redmine.surecash.net/issues/265551,Bug,Tech Ops,2025-06-19,2025-06-19 08:16:30+00:00
W00,http://redmine.surecash.net/issues/265542,Login problem -TK,Tech Ops,2025-06-19,2025-06-19 07:39:08+00:00
W01,http://redmine.surecash.net/issues/265432,Data mismatch - TK,Tech Ops,2025-06-18,2025-06-18 14:52:36+00:00
W01,http://redmine.surecash.net/issues/265336,Bug,Tech Ops,2025-06-18,2025-06-18 08:39:45+00:00
W01,http://redmine.surecash.net/issues/265329,Bug,Tech Ops,2025-06-18,2025-06-18 08:03:34+00:00
W01,http://redmine.surecash.net/issues/265295,Registration problem - TP,Tech Ops,2025-06-18,2025-06-18 05:47:10+00:00
W01,http://redmine.surecash.net/issues/265205,TK_Premium-Purchase Package,Tech Ops,2025-06-18,2025-06-18 02:42:57+00:00
W01,http://redmine.surecash.net/issues/265172,Data Backup Problem,Tech Ops,2025-06-17,2025-06-17 16:31:47+00:00
W01,http://redmine.surecash.net/issues/265167,Other,Tech Ops,2025-06-17,2025-06-17 16:22:58+00:00
W01,http://redmine.surecash.net/issues/265137,Bug,Tech Ops,2025-06-17,2025-06-17 13:51:19+00:00
W01,http://redmine.surecash.net/issues/264888,SQR - non transactional issues,Tech Ops,2025-06-17,2025-06-17 09:34:20+00:00
W01,http://redmine.surecash.net/issues/263665,Bug,Tech Ops,2025-06-15,2025-06-15 14:50:46+00:00
W01,http://redmine.surecash.net/issues/263639,Data Backup Problem,Tech Ops,2025-06-15,2025-06-15 12:43:43+00:00
W01,http://redmine.surecash.net/issues/262968,Data Backup Problem,Tech Ops,2025-06-14,2025-06-14 14:24:54+00:00
W01,http://redmine.surecash.net/issues/262933,Login problem -TK,Tech Ops,2025-06-14,2025-06-14 11:56:19+00:00
W01,http://redmine.surecash.net/issues/262893,Login problem -TK,Tech Ops,2025-06-14,2025-06-14 08:24:39+00:00
W01,http://redmine.surecash.net/issues/262637,Data mismatch - TK,Tech Ops,2025-06-13,2025-06-13 03:07:50+00:00
W01,http://redmine.surecash.net/issues/262540,Bug,Tech Ops,2025-06-12,2025-06-12 09:19:56+00:00
