week_label,Link,issue_type,Assigned to,start_date,created_on
W00,http://redmine.surecash.net/issues/266615,Cashback Failed,Tech Ops,2025-06-25,2025-06-25 14:06:40+00:00
W00,http://redmine.surecash.net/issues/266604,Mobile recharge failed,Tech Ops,2025-06-25,2025-06-25 12:56:35+00:00
W00,http://redmine.surecash.net/issues/266447,Mobile recharge failed,Tech Ops,2025-06-24,2025-06-24 16:06:05+00:00
W00,http://redmine.surecash.net/issues/266442,Mobile recharge failed,Tech Ops,2025-06-24,2025-06-24 15:47:17+00:00
W00,http://redmine.surecash.net/issues/266414,Bank - Money out,Tech Ops,2025-06-24,2025-06-24 12:44:30+00:00
W00,http://redmine.surecash.net/issues/265785,Cashback Failed,Tech Ops,2025-06-20,2025-06-20 13:41:30+00:00
W00,http://redmine.surecash.net/issues/265668,Cashback Failed,Tech Ops,2025-06-19,2025-06-19 16:13:24+00:00
W00,http://redmine.surecash.net/issues/265650,SQR - transactional issues,Tech Ops,2025-06-19,2025-06-19 14:48:14+00:00
W01,http://redmine.surecash.net/issues/265382,Nagad - Money out,Tech Ops,2025-06-18,2025-06-18 11:30:10+00:00
W01,http://redmine.surecash.net/issues/265168,Rocket - Add money,Tech Ops,2025-06-17,2025-06-17 16:24:14+00:00
W01,http://redmine.surecash.net/issues/264627,Cashback Failed,Tech Ops,2025-06-17,2025-06-17 05:20:20+00:00
W01,http://redmine.surecash.net/issues/263966,Cashback Failed,Tech Ops,2025-06-16,2025-06-16 06:27:48+00:00
W02,http://redmine.surecash.net/issues/261281,Bank-Money Out (NPSB),Tech Ops,2025-06-05,2025-06-05 12:31:54+00:00
W03,http://redmine.surecash.net/issues/261004,Bank-Money Out (NPSB),Tech Ops,2025-06-04,2025-06-04 13:28:44+00:00
W03,http://redmine.surecash.net/issues/260738,Card - Add money,Tech Ops,2025-06-04,2025-06-04 08:08:15+00:00
W04,http://redmine.surecash.net/issues/255336,SQR - transactional issues,Tech Ops,2025-05-26,2025-05-26 09:24:36+00:00
W05,http://redmine.surecash.net/issues/253397,Bank-Money Out (NPSB),Tech Ops,2025-05-19,2025-05-19 09:15:36+00:00
W19,http://redmine.surecash.net/issues/207747,Bank-Money Out (NPSB),Tech Ops,2025-02-07,2025-02-07 09:09:50+00:00
